,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUTOMATION ERACTS STATUS  10-09-2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0-3 Days,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ageing Analysis for Orpak Complaints ,,,,,,,Ageing Analysis for Atos Complaints ,,,,,,,Ageing Analysis for BCT Complaints ,,,,,,,,,,,,,,,,,,3-10 days,,,
,SO/DO,0-3 Days ,3-10 days ,10-30 Days,More than 30 days ,Total ,,SO/DO,0-3 Days ,3-10 days ,10-30 Days,More than 30 days ,Total ,,SO/DO,0-3 Days ,3-10 days ,10-30 Days,More than 30 days ,Total ,,,,,,,,,,,,,10-30 days,,,
,AJMER DO,4,3,2,0,9,,AJMER DO,7,4,14,6,31,,AJMER DO,0,1,0,0,1,,,,,,,,,,,,,More than 30,,,
,Jaipur DO,8,0,0,0,8,,Jaipur DO,10,2,6,2,20,,Jaipur DO,0,0,0,0,0,,,,,,,,,,,,,,,,
,Jodhpur DO,6,6,4,3,19,,Jodhpur DO,2,1,6,0,9,,Jodhpur DO,0,0,0,0,0,,,,,,,,,,,,,,,,
,Udaipur DO,10,5,3,2,20,,Udaipur DO,0,0,2,1,3,,Udaipur DO,0,0,0,0,0,,,,,,,,,,,,,,,,
, RSO,28,14,9,5,56,, RSO,19,7,28,9,63,, RSO,0,1,0,0,1,,,,,,,,,AUTOMATION ERACTS STATUS ,10-09-2026,,,,,,FCC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UPS
,Critical Complaints Orpak,,,,,,,Critical Complaints Atos,,,,,,,Critical Complaints BCT,,,,,,,,,,,,,,,,,,,,,Battery
,SO/DO,0-3 Days ,3-10 days ,10-30 Days,More than 30 days ,Total ,,SO/DO,0-3 Days ,3-10 days ,10-30 Days,More than 30 days ,Total ,,SO/DO,0-3 Days ,3-10 days ,10-30 Days,More than 30 days ,Total ,,,,,,,,,,,,,,,,ATG
,AJMER DO,3,2,2,0,7,,AJMER DO,3,2,12,4,21,,AJMER DO,0,0,0,0,0,,,,,,,,,,,,,,,,
,Jaipur DO,2,0,0,0,2,,Jaipur DO,0,1,4,2,7,,Jaipur DO,0,0,0,0,0,,,,,,,,,,,,,,,,
,Jodhpur DO,5,4,3,3,15,,Jodhpur DO,2,0,4,0,6,,Jodhpur DO,0,0,0,0,0,,,,,,,,,,,,,,,,
,Udaipur DO,7,5,3,2,17,,Udaipur DO,0,0,2,1,3,,Udaipur DO,0,0,0,0,0,,,,,,,,,,,,,,,,
, RSO,17,11,8,5,41,, RSO,5,3,22,7,37,, RSO,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Ageing Analysis for All Complaints ,,,,,,,Ageing Analysis for Critical Complaints ,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,SO/DO,0-3 Days ,3-10 days ,10-30 Days,More than 30 days ,Total ,,SO/DO,0-3 Days ,3-10 days ,10-30 Days,More than 30 days ,Total ,,,,,,,,,,,,,,,,,,,
,,,,,AJMER DO,11,8,16,6,41,,AJMER DO,6,4,14,4,28,,,,,,,,,,,,,,,,,,,
,,,,,Jaipur DO,18,2,6,2,28,,Jaipur DO,2,1,4,2,9,,,,,,,,,,,,,,,,,,,
,,,,,Jodhpur DO,8,7,10,3,28,,Jodhpur DO,7,4,7,3,21,,,,,,,,,,,,,,,,,,,
,,,,,Udaipur DO,10,5,5,3,23,,Udaipur DO,7,5,5,3,20,,,,,,,,,,,,,,,,,,,
,,,,, RSO,47,22,37,14,120,, RSO,22,14,30,12,78,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
