RSO Indent Report ,,,,,,,,,,,,,,,,25.09.2026,,16730,,50700,,Completed ,,,,,,,,Branded Fuel Indent,,,,
25-09-2026 11:33,,,,,,,,,,,,,,,,,,16741,,50750,,,,,,,,,,25-09-2026,,,,
DO,MS,,,,,,,HSD,,,,,,,,,,16740,,50770,,,,,,,,,,DO,Target ,XP Indent,Target ,XG Indent
,MS Target,MS Indent,Under Loading,Loading Not Started,Billed ,Gap ,MS-Daily Yesterday Sales (in KL),HSD Target,HSD Indent ,Under Loading,Loading Not Started,Billed ,Gap ,,,,,17101,,50800,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jaipur,2000,1294,297,402,596,706,#REF!,3200,2302,873,660,769,898,,,,,17295,,50850,,,,,,,,,,Jaipur,500,51,150,5
Jodhpur,1000,518,229,70,219,482,#REF!,2500,1858,662,298,898,642,,,,,17595,,51770,,,,,,,,,,Jodhpur,160,23,120,0
Udaipur ,1200,771,490,146,135,429,#REF!,2500,1601,798,286,517,899,,,2372,,17498,,,,,,,,,,,,Udaipur ,220,0,80,0
Ajmer,1200,731,307,164,260,469,132,2200,1730,555,377,798,470,,,,,,,,,,,,,,,,,Ajmer,250,47,100,0
RSO,5400,3314,1323,782,1210,2086,#REF!,10400,7491,2888,1621,2982,2909,,,4192,,,,,,,,,,,,,,Total ,1130,121,450,5
Terminal Wise ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Terminal,MS Target,MS Indent ,Billed + Under Loading,Loading Not Started,,Pending Indent %,MS-Daily Yesterday Sales (in KL),HSD Target,HSD Indent ,Billed + Under Loading,Loading Not Started,,Pending Indent %,,,08-09-2026,,Target ,,,,,,,,,,,,,,,,
Jodhpur ,,665,587,78,,11.7,56,,2265,1905,360,,15.9,,,,,MS ,HSD,,,,,,,,,,,,,,,
Chittorgarh,,984,780,204,,20.7,,,1939,1602,337,,17.4,,,Jaipur,,2000,3200,,,,,,,,,,,,,,,
Jaipur,,1323,890,433,,32.7,38,,2460,1721,739,,30.0,,,Jodhpur,,1000,2500,,,,,,,,,,,,,,,
Bharatpur,,316,268,48,,15.2,38,,781,613,168,,21.5,,,Udaipur ,,1200,2500,,,,,,,,,,,,,,,
RSO,,3287,2524,763,,23.2,132,,7444,5840,1604,,21.5,,,Ajmer,,1200,2200,,,,,,,,,,,,,,,
,0,,,,,,,0,,,,,,,,RSO,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,RSO,,5400,10400,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RSO Indent Report Jaipur DO,,,,,,,,,,,,,,,,RSO Indent Report Jodhpur Terminal,,,,,,,,,,,,,,,,,,
25-09-2026 11:33,,,,,,,,,,,,,,,,25-09-2026 11:33,,,,,,,,,,,,,,,,,,
SO/DO,MS,,,,,,,HSD,,,,,,,,SO/DO,MS,,,,,,,HSD,,,,,,,,,,
,Completed ,MS Indent,Under Loading,,Billed ,Gap ,MS-Daily Yesterday Sales (in KL),Completed ,HSD Indent ,Under Loading,,Billed ,Gap ,,,,MS Target,MS Indent,Completed ,Under Loading,Billed ,Gap ,MS-Daily Yesterday Sales (in KL),HSD Target,HSD Indent ,Completed ,Under Loading,Billed ,Gap ,,,,,
