Sr no,Parameter,Unit,Inter Weightage,Annual Target,Cum. Target (APR_JUL),Level 1,Actual Data,Criterion,Level Achieved,Inter functional score,Intra functional score
1,% completion of A site ROs within 16 weeks -75% sites and with in 20 weeks - 100 % sites from statutory clearances & handing over of clear site,%,3,100,100,95,100,1,Excellent,3,3
2,RO Commissioning in Class A Market,Nos.,3,3,1,0.95,0,3.25,Poor,9.75,9.75
3,RO Commissioning in Class B Market,Nos.,3,16,1,0.95,1,1,Excellent,3,3
4,RO Commissioning in D1 Class of Market,Nos.,3,80,20,19,15,2.083,Good,6.249,6.25
5,Starting nozzle sales within same FY for all commissioning done during Apr-Dec'26,%,5,90,90,85.5,40,2.889,Poor,14.445,14.45
6,Timely completion of eligible RO/KSK Reconstitution for all proposal received after 1st Apr 2026,%,3,100,100,95,100,1,Excellent,3,3
7,Commissioning and monitoring of CNG/ CBG station in ROs,Nos.,0,10,0,NA,0,0,NA,0,0
8,Net revival of Nil Selling ROs including resitement & termination,%,4,30,10,9.5,0,3.25,Poor,13,13
9,Renewal of land lease of A site ROs other than litigation,%,3,100,20,19,0,3.25,Poor,9.75,9.75
10,RO Commissioning other than SRMP sites (Govt. Sites etc) and resitement,Nos.,0,20,0,NA,0,0,NA,0,0
11,Sales volume share from commissioning of Current FY & last 2 FY over Market share as on 01.04.2026 within PSU,%,3,100,100,95,123.5,1,Excellent,3,3
12,% completion of B site ROs within 6 weeks from statutory clearances & handing over of clear SITE,%,3,100,100,95,100,1,Excellent,3,3
13,Setting up of Apna Ghar (Under PM1000 scheme - MoP&NG Target),Nos.,0,2,0,NA,0,0,NA,0,0
14,Total RO and KSK Commissioning (in all Class of Market),Nos.,6,218,58,55.1,31,2.664,Fair,15.984,15.98
15,XP100 Sales volume in KLs,KL,4,100,32,30.4,52,1,Excellent,4,4
16,Xtrapower Conversion,%,4,15,15,14.25,12.7,1.761,Good,7.044,7.04
17,% uptime of Fast Chargers,%,3,95,95,90.25,57.15,2.496,Fair,7.488,7.49
18,Commissioning of Large NFR RO (Net NFR above Rs. 0.75 Lacs per Month OR Space above 500 Sqft)),Nos.,2,2,1,0.95,0,3.25,Poor,6.5,6.5
19,Net NFR - Retail,Rs. In Cr.,2,31,6.13,5.82,6.11,1,Excellent,2,2
20,"% all Tanks/Dus (excluding equipment under maintenance, addon, Raze and Rebuild) communicating  (sales > 24 KLPM)",%,3,98,95,90.25,96,1,Excellent,3,3
21,Commissioning of NFR Store Facilities,Nos.,3,250,67,63.65,6,3.25,Poor,9.75,9.75
22,Compliance of recommendations of accident investigation (including the All India recommendations),%,0.5,100,35,33.25,100,1,Excellent,0.5,0.5
23,Accidents at Retail Outlets,Nos.,0,0,0,0,0,1,Excellent,0,0
24,Implementation of Safety Culture Transformation Project (SEED),%,1,100,40,38,100,1,Excellent,1,1
25,Safety and electrical audits of Retail outlets as per target,%,0.5,100,45,44.1,100,1,Excellent,0.5,0.5
26,HSD (R) Market Share in Industry,%,5,37.8,37.7,35.81,40.4,1,Excellent,5,5
27,MS (R) Market Share in Industry,%,5,37.5,37.49,35.62,37.6,1,Excellent,5,5
28,New WSA Commissioning and Operationalization (Owned & Concessionaire ),Nos.,0,1,0,NA,0,0,NA,0,0
29,PPT under Pursuit 8000 initiative Ros,KLPM,5,135,130,123.5,154.9,1,Excellent,5,5
30,Retail CAPEX utilization,Rs. In Cr.,3,187.48,61.87,5,36,3.25,Poor,9.75,9.75
31,Retail Lube Sales growth from ROs,%,5,10,10,9.5,38.5,1,Excellent,5,5
Overall Performance - Score Achieved for all applicable parameters weightage,,,85,,,,155.71,,,,
