Section,Period,DO,Metric,Value
PSU Commissioning,Aug'26,Ajmer,IOC RO,0
PSU Commissioning,Aug'26,Ajmer,IOC KSK,0
PSU Commissioning,Aug'26,Ajmer,IOC Total,0
PSU Commissioning,Aug'26,Ajmer,BPC RO,0
PSU Commissioning,Aug'26,Ajmer,BPC KSK,0
PSU Commissioning,Aug'26,Ajmer,BPC Total,0
PSU Commissioning,Aug'26,Ajmer,HPC RO,0
PSU Commissioning,Aug'26,Ajmer,HPC KSK,0
PSU Commissioning,Aug'26,Ajmer,HPC Total,0
PSU Commissioning,Aug'26,Ajmer,Total RO,0
PSU Commissioning,Aug'26,Ajmer,Total KSK,0
PSU Commissioning,Aug'26,Ajmer,Total Total,0
PSU Commissioning,Aug'26,Ajmer,%IOC Comm RO,0
PSU Commissioning,Aug'26,Ajmer,%IOC Comm KSK,0
PSU Commissioning,Aug'26,Ajmer,%IOC Comm Total,0
PSU Commissioning,Aug'26,Ajmer,Class A,0
PSU Commissioning,Aug'26,Ajmer,Class B,0
PSU Commissioning,Aug'26,Ajmer,Class D1,0
PSU Commissioning,Aug'26,Jaipur,IOC RO,0
PSU Commissioning,Aug'26,Jaipur,IOC KSK,0
PSU Commissioning,Aug'26,Jaipur,IOC Total,0
PSU Commissioning,Aug'26,Jaipur,BPC RO,0
PSU Commissioning,Aug'26,Jaipur,BPC KSK,0
PSU Commissioning,Aug'26,Jaipur,BPC Total,0
PSU Commissioning,Aug'26,Jaipur,HPC RO,0
PSU Commissioning,Aug'26,Jaipur,HPC KSK,0
PSU Commissioning,Aug'26,Jaipur,HPC Total,0
PSU Commissioning,Aug'26,Jaipur,Total RO,0
PSU Commissioning,Aug'26,Jaipur,Total KSK,0
PSU Commissioning,Aug'26,Jaipur,Total Total,0
PSU Commissioning,Aug'26,Jaipur,%IOC Comm RO,0
PSU Commissioning,Aug'26,Jaipur,%IOC Comm KSK,0
PSU Commissioning,Aug'26,Jaipur,%IOC Comm Total,0
PSU Commissioning,Aug'26,Jaipur,Class A,0
PSU Commissioning,Aug'26,Jaipur,Class B,0
PSU Commissioning,Aug'26,Jaipur,Class D1,0
PSU Commissioning,Aug'26,Jodhpur,IOC RO,1
PSU Commissioning,Aug'26,Jodhpur,IOC KSK,0
PSU Commissioning,Aug'26,Jodhpur,IOC Total,1
PSU Commissioning,Aug'26,Jodhpur,BPC RO,0
PSU Commissioning,Aug'26,Jodhpur,BPC KSK,0
PSU Commissioning,Aug'26,Jodhpur,BPC Total,0
PSU Commissioning,Aug'26,Jodhpur,HPC RO,0
PSU Commissioning,Aug'26,Jodhpur,HPC KSK,0
PSU Commissioning,Aug'26,Jodhpur,HPC Total,0
PSU Commissioning,Aug'26,Jodhpur,Total RO,1
PSU Commissioning,Aug'26,Jodhpur,Total KSK,0
PSU Commissioning,Aug'26,Jodhpur,Total Total,1
PSU Commissioning,Aug'26,Jodhpur,%IOC Comm RO,100.0
PSU Commissioning,Aug'26,Jodhpur,%IOC Comm KSK,0
PSU Commissioning,Aug'26,Jodhpur,%IOC Comm Total,100.0
PSU Commissioning,Aug'26,Jodhpur,Class A,0
PSU Commissioning,Aug'26,Jodhpur,Class B,0
PSU Commissioning,Aug'26,Jodhpur,Class D1,1
PSU Commissioning,Aug'26,Udaipur,IOC RO,0
PSU Commissioning,Aug'26,Udaipur,IOC KSK,0
PSU Commissioning,Aug'26,Udaipur,IOC Total,0
PSU Commissioning,Aug'26,Udaipur,BPC RO,0
PSU Commissioning,Aug'26,Udaipur,BPC KSK,0
PSU Commissioning,Aug'26,Udaipur,BPC Total,0
PSU Commissioning,Aug'26,Udaipur,HPC RO,0
PSU Commissioning,Aug'26,Udaipur,HPC KSK,0
PSU Commissioning,Aug'26,Udaipur,HPC Total,0
PSU Commissioning,Aug'26,Udaipur,Total RO,0
PSU Commissioning,Aug'26,Udaipur,Total KSK,0
PSU Commissioning,Aug'26,Udaipur,Total Total,0
PSU Commissioning,Aug'26,Udaipur,%IOC Comm RO,0
PSU Commissioning,Aug'26,Udaipur,%IOC Comm KSK,0
PSU Commissioning,Aug'26,Udaipur,%IOC Comm Total,0
PSU Commissioning,Aug'26,Udaipur,Class A,0
PSU Commissioning,Aug'26,Udaipur,Class B,0
PSU Commissioning,Aug'26,Udaipur,Class D1,0
PSU Commissioning,Aug'26,RSO,IOC RO,1
PSU Commissioning,Aug'26,RSO,IOC KSK,0
PSU Commissioning,Aug'26,RSO,IOC Total,1
PSU Commissioning,Aug'26,RSO,BPC RO,0
PSU Commissioning,Aug'26,RSO,BPC KSK,0
PSU Commissioning,Aug'26,RSO,BPC Total,0
PSU Commissioning,Aug'26,RSO,HPC RO,0
PSU Commissioning,Aug'26,RSO,HPC KSK,0
PSU Commissioning,Aug'26,RSO,HPC Total,0
PSU Commissioning,Aug'26,RSO,Total RO,1
PSU Commissioning,Aug'26,RSO,Total KSK,0
PSU Commissioning,Aug'26,RSO,Total Total,1
PSU Commissioning,Aug'26,RSO,%IOC Comm RO,100.0
PSU Commissioning,Aug'26,RSO,%IOC Comm KSK,0
PSU Commissioning,Aug'26,RSO,%IOC Comm Total,100.0
PSU Commissioning,Aug'26,RSO,Class A,0
PSU Commissioning,Aug'26,RSO,Class B,0
PSU Commissioning,Aug'26,RSO,Class D1,1
PSU Commissioning,Apr-Aug'26,Ajmer,IOC RO,6
PSU Commissioning,Apr-Aug'26,Ajmer,IOC KSK,2
PSU Commissioning,Apr-Aug'26,Ajmer,IOC Total,8
PSU Commissioning,Apr-Aug'26,Ajmer,BPC RO,6
PSU Commissioning,Apr-Aug'26,Ajmer,BPC KSK,0
PSU Commissioning,Apr-Aug'26,Ajmer,BPC Total,6
PSU Commissioning,Apr-Aug'26,Ajmer,HPC RO,0
PSU Commissioning,Apr-Aug'26,Ajmer,HPC KSK,0
PSU Commissioning,Apr-Aug'26,Ajmer,HPC Total,0
PSU Commissioning,Apr-Aug'26,Ajmer,Total RO,12
PSU Commissioning,Apr-Aug'26,Ajmer,Total KSK,2
PSU Commissioning,Apr-Aug'26,Ajmer,Total Total,14
PSU Commissioning,Apr-Aug'26,Ajmer,%IOC Comm RO,50.0
PSU Commissioning,Apr-Aug'26,Ajmer,%IOC Comm KSK,100.0
PSU Commissioning,Apr-Aug'26,Ajmer,%IOC Comm Total,57.1
PSU Commissioning,Apr-Aug'26,Ajmer,Class A,0
PSU Commissioning,Apr-Aug'26,Ajmer,Class B,0
PSU Commissioning,Apr-Aug'26,Ajmer,Class D1,4
PSU Commissioning,Apr-Aug'26,Jaipur,IOC RO,7
PSU Commissioning,Apr-Aug'26,Jaipur,IOC KSK,1
PSU Commissioning,Apr-Aug'26,Jaipur,IOC Total,8
