,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RSO Vishleshan Lead Report dated  09-09-2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RSO Vishleshan Lead Report dated ,09-09-2026,,,,,
,,,,,,,Total Open Critical Leads,,,,,,,,,,,,,,,,,,,,,,Total Open Leads,,,,,,,,,,,,,
SO/DO,DU : E09 & E28 Event,,,DU Critical Log Events,,,Not Acknowledged,DU : E09 & E28 Event,,,,,DU Critical Log Events,Pending at FO ,DU : E09 & E28 Event,,,,,DU Critical Log Events,Pending at DRH ,DU : E09 & E28 Event,,,,,DU Critical Log Events,Total ,Not Acknowledged,Pending at FO ,Pending at DRH ,Total ,,,,,,,,,DU : E09 & E28 Event,DU Critical Log Events
AJMER DO,0,,,0,,,0,0,,,,,6,6,0,,,,,0,0,,,,,,,6,10,154,19,183,,,,,,,,,Not Acknowledged,
Jaipur DO,0,,,0,,,0,0,,,,,7,7,0,,,,,1,1,,,,,,,8,8,177,10,195,,,,,,,,,In Progress,
Jodhpur DO,0,,,0,,,0,0,,,,,6,6,0,,,,,3,3,,,,,,,9,9,76,9,94,,,,,,,,,Acceptance Pending At DRH,
Udaipur DO,0,,,0,,,0,0,,,,,4,4,0,,,,,0,0,,,,,,,4,26,149,9,184,,,,,,,,,0-3 Days,
 RSO,0,,,0,,,0,0,,,,,23,23,0,,,,,4,4,,,,,,,27,53,556,47,656,,,,,,,,,3-10 days,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10-30 days,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,More than 30,
Ageing Analysis for Critical Leads,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SO/DO,DU : E09 & E28 Event Not ACKNOWLEDGED ,DU : E09 & E28 Event IN PROGRESS,DU : E09 & E28 Event Pending at DRH ,DU Critical Log Events,DU Critical Log Events,DU Critical Log Events,0-3 Days ,DU : E09 & E28 Event Not ACKNOWLEDGED ,DU : E09 & E28 Event IN PROGRESS,DU : E09 & E28 Event Pending at DRH ,DU Critical Log Events,DU Critical Log Events,DU Critical Log Events,3-10 days ,DU : E09 & E28 Event,,,,,DU Critical Log Events,10-30 Days,DU : E09 & E28 Event,,,,,DU Critical Log Events,More than 30 days ,Total ,,,,,,,,,,,,,
AJMER DO,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,3,0,3,0,0,0,0,2,0,2,6,,,,,,,,,,,,,
Jaipur DO,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,1,1,2,8,,,,,,,,,,,,,
Jodhpur DO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,4,3,7,9,,,,,,,,,,,,,
Udaipur DO,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,0,2,0,0,0,0,1,0,1,4,,,,,,,,,,,,,
 RSO,0,0,0,0,2,0,2,0,0,0,0,2,0,2,0,0,0,0,11,0,11,0,0,0,0,8,4,12,27,,,,,,,,,,,,,7554
